Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
INQUIRER.net,inquirerdotnet,142802334452,MEDIA/NEWS COMPANY,PH,INQUIRER.net - The leading Philippine news and information website. ,2014-11-12 04:31:58 SGT,6593032,7050378,2021-03-11 07:36:17 SGT,2021-03-11,07:36:17,Link,17,10,4,0,0,0,3,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/142802334452/posts/10161169354419453,Nueva Ecija Rep. Estrellita Suansing called out FDA for what she called the “premature” issuance of regulations governing vapor products and heated tobacco products (HTPs) as public consultations on the matter had not even been completed.,https://newsinfo.inquirer.net/1405540/solon-calls-out-fda-for-premature-issuance-of-regulations-governing-vapor-products?utm_medium=Social&utm_source=Facebook#Echobox=1615414951,,,Solon calls out FDA for ‘premature’ issuance of regulations governing vapor products,"MANILA, Philippines — Nueva Ecija Rep. Estrellita Suansing called out the Food and Drug Administration (FDA) on Wednesday for what she called the “premature” issuance ...",,,,-18.47
Now You Know,nowyouknowph,366797844060990,MEDIA,PH,Now You Know (NYK) is a civic media platform which aims to provide relevant information for the Filipino people.,2018-12-10 08:49:09 SGT,887107,907425,2021-03-11 08:49:44 SGT,2021-03-11,08:49:44,Link,2,2,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/366797844060990/posts/957378918336210,"MANILA, Philippines — Nueva Ecija Rep. Estrellita Suansing called out the Food and Drug Administration (FDA) on Wednesday for what she called the “premature” issuance of regulations governing vapor products and heated tobacco products (HTPs) as public consultations on the matter had not even been completed. According to Suansing, the FDA issued Administrative Order No. 2020-0055, which was signed on Dec. 1, 2020, but was only posted on its website last Jan. 4. I via Inquirer.nwt #NowYouKnow #NYK",https://newsinfo.inquirer.net/1405540/solon-calls-out-fda-for-premature-issuance-of-regulations-governing-vapor-products?utm_medium=Social&utm_source=Facebook#Echobox=1615414951,,,Solon calls out FDA for ‘premature’ issuance of regulations governing vapor products,"MANILA, Philippines — Nueva Ecija Rep. Estrellita Suansing called out the Food and Drug Administration (FDA) on Wednesday for what she called the “premature” issuance of regulations",,,,-21.5
Zyite.com,Zyite,394740097296911,ELECTRONICS,,Zyite.com is a global retailer,2019-02-08 07:26:45 SGT,577,591,2021-03-11 04:33:05 SGT,2021-03-11,04:33:05,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/394740097296911/posts/3411524668951757,,http://dlvr.it/RvN4jx,https://newsinfo.inquirer.net/1405540/solon-calls-out-fda-for-premature-issuance-of-regulations-governing-vapor-products?utm_source=dlvr.it&utm_medium=facebook,,Solon calls out FDA for ‘premature’ issuance of regulations governing vapor products,"MANILA, Philippines — Nueva Ecija Rep. Estrellita Suansing called out the Food and Drug Administration (FDA) on Wednesday for what she called the “premature” issuance of regulations",,,,-6
