Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
The Vapers Ph,thevapersph,685875034894630,COMMUNITY ORGANIZATION,,The Vapers Ph is a community page for the Philippine vaping community. Like and follow us here and on Twitter @thevapersph if you're interested in being a member and being part of the new vaping revolution!,2021-03-15 07:05:30 SGT,N/A,N/A,2020-12-11 23:40:06 SGT,2020-12-11,23:40:06,Photo,86,33,0,53,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/685875034894630/posts/1857534844395304,The lawmakers issued the above statement about agencies such as the FDA accepting monetary donations from anti-tobacco organizations How many of you agree with the two congressmen that BFAD should return the money given by a private organization? Read more: https://www.manilatimes.net/2020/12/08/news/national/lawmakers-seek-fda-probe/806450/?fbclid=IwAR16x8qX6qx3Cj4OTBoAbavfrbwsW8-0g16zyvLw4yI3KzN_l9w763sZc0I,https://www.facebook.com/thevapersph/photos/a.686298304852303/1857533887728733/?type=3,,"THE APERS ""FDA officials may be in violation of applicable laws due to their failure to inform stakeholders beforehand of the existence of such arrangement."" Deputy House Speaker Deogracias Victor Savellano and Nueva Ecija First District Rep. Estrellita Suansing The Vapers PH @thevapersph",,,,,,4.53
The Vapers Ph,thevapersph,685875034894630,COMMUNITY ORGANIZATION,,The Vapers Ph is a community page for the Philippine vaping community. Like and follow us here and on Twitter @thevapersph if you're interested in being a member and being part of the new vaping revolution!,2021-03-15 07:05:30 SGT,N/A,N/A,2020-12-13 22:14:08 SGT,2020-12-13,22:14:08,Photo,51,29,0,22,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/685875034894630/posts/1859030637579058,,https://www.facebook.com/thevapersph/photos/a.686298304852303/1857533887728733/?type=3,,"THE APERS ""FDA officials may be in violation of applicable laws due to their failure to inform stakeholders beforehand of the existence of such arrangement."" Deputy House Speaker Deogracias Victor Savellano and Nueva Ecija First District Rep. Estrellita Suansing The Vapers PH @thevapersph",The Vapers Ph,"The lawmakers issued the above statement about agencies such as the FDA accepting monetary donations from anti-tobacco organizations

How many of you agree with the two congressmen that BFAD should return the money given by a private organization? 

Read more: https://www.manilatimes.net/2020/12/08/news/national/lawmakers-seek-fda-probe/806450/?fbclid=IwAR16x8qX6qx3Cj4OTBoAbavfrbwsW8-0g16zyvLw4yI3KzN_l9w763sZc0I",,,,2.68
