Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Harm Reduction Alliance of the Philippines,HARAPgroup,105923074668388,COMMUNITY,PH,The Harm Reduction Alliance of the Philippines (HARAP) is a national peer-run advocacy and capacity-building association that aims to promote harm reduction as part of the country’s public health policy.,2021-04-01 19:25:10 SGT,N/A,N/A,2021-02-03 19:41:46 SGT,2021-02-03,19:41:46,Photo,3,0,0,1,2,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/105923074668388/posts/153324763261552,"Bloomberg Suspected of Interfering with the Regulation of Smoke-Free Products in the philippines Bloomberg foundation is facing pressure to explain the funds released to the Philippine Food and Drug Administration (FDA). According to international public experts and tobacco harm reduction (THR) advocates, this release of funding by the foundation could be interpretted as a form of tampering with the decision-making of the regulators. Link to Tweet: https://twitter.com/cjsnowdon/status/1356607189520166912?s=21 Link to article: https://journal.com.ph/news/nation/bloomberg-faces-mounting-pressure-to-explain-fda-funding/ #HarmReductionPH #HARAP",https://www.facebook.com/HARAPgroup/photos/a.113766047217424/153324039928291/?type=3,,"Christopher Snowdon low Mike Bloomberg's interference countries' affairs. other PEOPLES Journalonlin www.journal.com.ph PEORUS Tonight Bloomberg Women's fundsto journal.com.ph Mounting Pressure Explain DA Funding Journal Online foundation release Drug Administration 10:15 which 2021 Twitter Phone BLOOMBERG SUSPECTED OF INTERFERING WITH THE REGULATION OF SMOKE-FREE PRODUCTS IN THE PHILIPPINES Bloomberg foundation is facing pressure to explain the funds released to the Philippine Food and Drug Administration (FDA). According to international public experts and tobacco harm reduction (THR) advocates, this release funding by the foundation could be interpretted as form of tampering with the decision-making of the regulators. Source Online HARAP Û",,,,,,-0.67
VAPER AKO PH,akovaper,104168634335363,COMMUNITY ORGANIZATION,,Community Organization,2021-03-15 07:09:17 SGT,N/A,N/A,2021-02-04 20:52:34 SGT,2021-02-04,20:52:34,Link,2,1,0,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/104168634335363/posts/444978043587752,"“It is essential that regulatory bodies have the trust of the public. Accepting foreign funding from sources with a vested interest in compromising the FDA’s independence can rapidly destroy that trust. In this case, the money ultimately comes from a US entity with an abstinence-only agenda on low-risk alternatives to cigarettes.” Agree ba kayo kay Prof. Sweanor mga bros? Comment naman kayo below. #Bloomberg #FDA",https://journal.com.ph/news/nation/bloomberg-faces-mounting-pressure-to-explain-fda-funding/,,,Bloomberg Faces Mounting Pressure To Explain FDA Funding | Journal Online,ANTI-TOBACCO Bloomberg foundation faces mounting pressure to explain the release of funds to the Philippines Food and Drug Administration (FDA) which,,,,-0.33
Vaper Ako,,494778961302138,none,,,2020-03-12 14:54:50 SGT,8553,N/A,2021-02-04 20:55:19 SGT,2021-02-04,20:55:19,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/494778961302138/permalink/859374461509251,"“It is essential that regulatory bodies have the trust of the public. Accepting foreign funding from sources with a vested interest in compromising the FDA’s independence can rapidly destroy that trust. In this case, the money ultimately comes from a US entity with an abstinence-only agenda on low-risk alternatives to cigarettes.” Agree ba kayo kay Prof. Sweanor mga bros? Comment naman kayo below. #Bloomberg #FDA #VaperAko",https://journal.com.ph/news/nation/bloomberg-faces-mounting-pressure-to-explain-fda-funding/,,,Bloomberg Faces Mounting Pressure To Explain FDA Funding | Journal Online,ANTI-TOBACCO Bloomberg foundation faces mounting pressure to explain the release of funds to the Philippines Food and Drug Administration (FDA) which,,,,-168
