Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
PROVAPE Community News Philippines,,604952953363010,none,,,2020-03-08 14:59:13 SGT,22174,N/A,2021-03-20 20:45:09 SGT,2021-03-20,20:45:09,Link,59,32,2,18,7,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/604952953363010/permalink/1069345856923715,#WeAreProVape,https://newsinfo.inquirer.net/1409126/fda-admits-hiring-people-to-draft-regulations-on-vapes-using-anti-tobacco-money,,,FDA admits hiring people to draft regulations on vapes using anti-tobacco money,"MANILA, Philippines -- In a stunning admission before a House committee, the Food and Drug Administration (FDA) confirmed applying for and receiving grant money from a U.S. NGO espousing a ban on",,,,1.59
United States Vaping Association- USVA,TheUSVA,504117646722735,NONPROFIT ORGANIZATION,US,"United States Vaping Association Inc. is a trade association whose purpose is to provide information and assistance to its members to combat unlawful government in the vaping Industry. Specifically ENDS, E-Liquid Manufacturing and Industrial Hemp.  ",2020-05-05 01:59:46 SGT,3142,3603,2021-03-23 01:20:41 SGT,2021-03-23,01:20:41,Link,46,9,1,9,0,4,0,0,23,0,,-,0,0,0,N/A,https://www.facebook.com/504117646722735/posts/1100913697043124,"""In a stunning admission, the Philippine FDA confirmed applying for and receiving grant money from a U.S. NGO (Bloomberg) espousing a ban on vapes and heated tobacco products in order to hire employees to draft specific regulations on these products."" https://newsinfo.inquirer.net/1409126/fda-admits-hiring-people-to-draft-regulations-on-vapes-using-anti-tobacco-money",https://newsinfo.inquirer.net/1409126/fda-admits-hiring-people-to-draft-regulations-on-vapes-using-anti-tobacco-money,,,FDA admits hiring people to draft regulations on vapes using anti-tobacco money,"MANILA, Philippines -- In a stunning admission before a House committee, the Food and Drug Administration (FDA) confirmed applying for and receiving grant money from a U.S. NGO espousing a ban on",,,,1.39
A Billion Vapers (18+) - Know Your Nicotine,,258067947991979,none,,,2019-07-20 06:52:29 SGT,3995,N/A,2021-03-23 01:20:48 SGT,2021-03-23,01:20:48,Link,17,1,0,4,0,2,0,1,9,0,,-,0,0,0,N/A,https://www.facebook.com/groups/258067947991979/permalink/1138253879973377,"""In a stunning admission, the Philippine FDA confirmed applying for and receiving grant money from a U.S. NGO (Bloomberg) espousing a ban on vapes and heated tobacco products in order to hire employees to draft specific regulations on these products."" ",https://newsinfo.inquirer.net/1409126/fda-admits-hiring-people-to-draft-regulations-on-vapes-using-anti-tobacco-money,,,FDA admits hiring people to draft regulations on vapes using anti-tobacco money,"MANILA, Philippines -- In a stunning admission before a House committee, the Food and Drug Administration (FDA) confirmed applying for and receiving grant money from a U.S. NGO espousing a ban on",,,,-1.41
Kai Defiant Vaping,KaiDefiantVaping,106750394391307,VIDEO CREATOR,,"If you want a Page that helps you learn more about vaping with no lies and no bullsh*t, you've come to the right Page.

We got live commentaries, product review and more in this Page.

If you happen to drop by, like and follow my Page.",2020-12-12 22:15:50 SGT,1116,1216,2021-03-20 13:01:15 SGT,2021-03-20,13:01:15,Link,14,4,0,8,2,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/106750394391307/posts/295365818863096,"Isang malaking pabor, mga kapatid na vaper. Paki share to sa lahat ng vape groups. Ganyanan tayo, FDA ah. Kaya pala push na oush kayo sa ganung klaseng regulation ah! Pakita natin sa lahat ang hindi patas na trato nila sa vaping! Share this link: https://newsinfo.inquirer.net/1409126/fda-admits-hiring-people-to-draft-regulations-on-vapes-using-anti-tobacco-money",https://newsinfo.inquirer.net/1409126/fda-admits-hiring-people-to-draft-regulations-on-vapes-using-anti-tobacco-money,,,FDA admits hiring people to draft regulations on vapes using anti-tobacco money,"MANILA, Philippines -- In a stunning admission before a House committee, the Food and Drug Administration (FDA) confirmed applying for and receiving grant money from a U.S. NGO espousing a ban on",,,,0.74
Vapor Bliss,vaporbliss,156339114540522,PRODUCT/SERVICE,PH,Vapor Bliss is a breakthrough in the industry. Your number 1 most quality and affordable merchandise.  A must try! Your staple brand!,2016-12-13 03:43:08 SGT,31593,32420,2021-03-21 00:40:42 SGT,2021-03-21,00:40:42,Link,11,6,0,2,3,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/156339114540522/posts/1825718420935908,,https://newsinfo.inquirer.net/1409126/fda-admits-hiring-people-to-draft-regulations-on-vapes-using-anti-tobacco-money,,,FDA admits hiring people to draft regulations on vapes using anti-tobacco money,"MANILA, Philippines -- In a stunning admission before a House committee, the Food and Drug Administration (FDA) confirmed applying for and receiving grant money from a U.S. NGO espousing a ban on",,,,-4.91
Vaping saved my life.,savapertestimonials,121673125114835,COMMUNITY,,"This is a community project, record a small video or write your story on how vaping has helped you quit smoking and how you feel now.",2020-12-12 16:40:05 SGT,3961,4299,2021-03-30 17:19:47 SGT,2021-03-30,17:19:47,Photo,6,4,0,0,2,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/121673125114835/posts/825146798100794,100%,https://www.facebook.com/INNCOorg/photos/a.2881075602163733/2891019584502668/?type=3,,"""IF @BloombergDot WAS A COMPANY, THIS WOULD BE AN ARGUABLE CASE OF BRIBING FOREIGN OFFICIALS- A SERIOUS OFFENCE"" INNCO SHARE SAVE",INNCO,"“If @BloombergDotOrg (Bloomberg Philanthropies) was a company, this would be an arguable case of bribing foreign officials - a serious offence. Yet there is little difference - Bloomberg has money, an agenda and wants policy changes that do not benefit the country the regulatory agency is supposed to serve."" Clive Bates referring in #twitter to a news article from Inquirer.net quoted by Lance Churchill: """"In a stunning admission, the Philippine FDA confirmed applying for and receiving grant money from a U.S. NGO (Bloomberg) espousing a ban on vapes and heated tobacco products in order to hire employees to draft specific regulations on these products.""

#instagram : #linkinbio 
Link to news article: https://newsinfo.inquirer.net/1409126/fda-admits-hiring-people-to-draft-regulations-on-vapes-using-anti-tobacco-money

#INNCO #THR #humanrights #harmreduction #vaping #snus #htp #facts #news #science #press #vapefam #vapecommunity #vapelife",,,,-6
ecigcharleston.com,ecigcharleston,182694035087555,E-CIGARETTE STORE,US,"Ecigcharleston.com Charleston, Sc Premier Electronic Cigarette Store",2016-12-13 03:47:11 SGT,2504,2502,2021-03-23 01:20:25 SGT,2021-03-23,01:20:25,Link,1,0,0,0,0,0,0,1,0,0,,-,0,0,0,N/A,https://www.facebook.com/182694035087555/posts/4160613573962228,"""In a stunning admission, the Philippine FDA confirmed applying for and receiving grant money from a U.S. NGO (Bloomberg) espousing a ban on vapes and heated tobacco products in order to hire employees to draft specific regulations on these products."" https://newsinfo.inquirer.net/1409126/fda-admits-hiring-people-to-draft-regulations-on-vapes-using-anti-tobacco-money",https://newsinfo.inquirer.net/1409126/fda-admits-hiring-people-to-draft-regulations-on-vapes-using-anti-tobacco-money,,,FDA admits hiring people to draft regulations on vapes using anti-tobacco money,"MANILA, Philippines -- In a stunning admission before a House committee, the Food and Drug Administration (FDA) confirmed applying for and receiving grant money from a U.S. NGO espousing a ban on",,,,-0.88
Quezon City Online Buy and Sell,,292379458443209,none,,,2021-03-04 20:13:05 SGT,41350,N/A,2021-03-20 12:11:57 SGT,2021-03-20,12:11:57,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/292379458443209/permalink/505636497117503,,https://newsinfo.inquirer.net/1409126/fda-admits-hiring-people-to-draft-regulations-on-vapes-using-anti-tobacco-money,,,FDA admits hiring people to draft regulations on vapes using anti-tobacco money,"MANILA, Philippines -- In a stunning admission before a House committee, the Food and Drug Administration (FDA) confirmed applying for and receiving grant money from a U.S. NGO espousing a ban on",,,,-38
Philippine Vapers Community,,999724140401869,none,,,2020-03-25 00:21:56 SGT,10311,N/A,2021-03-20 16:10:03 SGT,2021-03-20,16:10:03,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/999724140401869/permalink/1411416252565987,PTPA PAKI SHARE PO SA LAHAT NG VAPE GROUPS #PhilippineVapersCommunity,https://newsinfo.inquirer.net/1409126/fda-admits-hiring-people-to-draft-regulations-on-vapes-using-anti-tobacco-money,,,FDA admits hiring people to draft regulations on vapes using anti-tobacco money,"MANILA, Philippines -- In a stunning admission before a House committee, the Food and Drug Administration (FDA) confirmed applying for and receiving grant money from a U.S. NGO espousing a ban on",,,,-110
