Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
The Vapers Ph,thevapersph,685875034894630,COMMUNITY ORGANIZATION,,The Vapers Ph is a community page for the Philippine vaping community. Like and follow us here and on Twitter @thevapersph if you're interested in being a member and being part of the new vaping revolution!,2021-03-15 07:05:30 SGT,N/A,N/A,2020-10-28 21:36:50 SGT,2020-10-28,21:36:50,Link,51,28,0,23,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/685875034894630/posts/1817997621682360,"“It’s a sorry state for an industry that is trying to provide 16 Million Filipino smokers a viable alternative so they can be freed from the clutches of the deadliest product in the market, combustible tobacco.”",https://journal.com.ph/editorial/opinion/stick-to-science-on-thr-regime/,,,Stick To Science On THR Regime,"It was as if . . . it were as if we felt no fear, as if we were already dead and had nothing to lose by dying. Or perhaps it was because we had lived life so",,,,2.68
Kai Defiant Vaping,KaiDefiantVaping,106750394391307,VIDEO CREATOR,,"If you want a Page that helps you learn more about vaping with no lies and no bullsh*t, you've come to the right Page.

We got live commentaries, product review and more in this Page.

If you happen to drop by, like and follow my Page.",2020-12-12 22:15:50 SGT,N/A,N/A,2020-11-05 21:49:49 SGT,2020-11-05,21:49:49,Link,6,3,1,1,1,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/106750394391307/posts/210169014049444,"“The vaping industry is being treated unfairly. We are not the enemy here. Combustible cigarettes that bring 88,000 deaths per year are our common enemy. Why is vaping treated worse than smoking?” Sabi pa ng president ng Philippine E-Cigarette Industry Association na si Joey Dulay, mas harsh pa ang regulations sa alternative nicotine-delivery systems kaysa sa traditional cigarettes. Maling-mali talaga eh. Diba mga bros? #VaperAko #advocacy #KaiDefiantVaping",https://journal.com.ph/editorial/opinion/stick-to-science-on-thr-regime/,,,This is a re-share of a post,"“The vaping industry is being treated unfairly. We are not the enemy here. Combustible cigarettes that bring 88,000 deaths per year are our common enemy. Why is vaping treated worse than smoking?”

Sabi pa ng president ng Philippine E-Cigarette Industry Association na si Joey Dulay, mas harsh pa ang regulations sa alternative nicotine-delivery systems kaysa sa traditional cigarettes. Maling-mali talaga eh. Diba mga bros? #VaperAko",,,,0.32
Vaper Ako,,494778961302138,none,,,2020-03-12 14:54:50 SGT,8579,N/A,2020-11-06 21:01:44 SGT,2020-11-06,21:01:44,Photo,6,4,0,2,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/494778961302138/permalink/802634963849868,Ito ang ipanarating ni Dr. Mata sa FDA matapos nitong aminin na tumanggap ito ng funding galing sa foreign anti-tobacco organizations. #VaperAko Basahin ang storya dito: [https://journal.com.ph/editorial/opinion/stick-to-science-on-thr-regime/](https://journal.com.ph/editorial/opinion/stick-to-science-on-thr-regime/),https://www.facebook.com/photo.php?fbid=176420084026244&set=gm.802634963849868&type=3,,,,,,,,-5.17
Vaper Ako,,494778961302138,none,,,2020-03-12 14:54:50 SGT,8571,N/A,2020-11-05 20:55:42 SGT,2020-11-05,20:55:42,Link,5,1,1,3,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/494778961302138/permalink/801866303926734,"“The vaping industry is being treated unfairly. We are not the enemy here. Combustible cigarettes that bring 88,000 deaths per year are our common enemy. Why is vaping treated worse than smoking?” Sabi pa ng president ng Philippine E-Cigarette Industry Association na si Joey Dulay, mas harsh pa ang regulations sa alternative nicotine-delivery systems kaysa sa traditional cigarettes. Maling-mali talaga eh. Diba mga bros? #VaperAko",https://journal.com.ph/editorial/opinion/stick-to-science-on-thr-regime/,,,Stick To Science On THR Regime,"It was as if . . . it were as if we felt no fear, as if we were already dead and had nothing to lose by dying. Or perhaps it was because we had lived life so",,,,-16.8
