Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
HEATS PH,HEATSph,107762277752757,NONPROFIT ORGANIZATION,,HEATS PH is an organization composed of individuals who have quit normal smoking and have switched to HTP (Heated Tobacco Products) and HNB (Heat Not Burn) equipment. This group advocates for the fair regulation of HTP and HNB  products. ,2021-03-15 07:04:24 SGT,N/A,N/A,2020-11-23 13:53:45 SGT,2020-11-23,13:53:45,Photo,4,4,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/107762277752757/posts/155638379631813,"""SCIENCE SHOULD BE THE BASIS, NOT POLITICAL AGENDA"" According to Dr. Lorenzo Mata Jr., President of Quit for Good, science should be the basis of the regulation of vape and heated tobacco, not political or ideological agenda. Quit for Good is an organization that advocates for sustainable alternatives to smoking for people who want to quit. Read more about it here: https://business.inquirer.net/310580/base-vape-heated-tobacco-regulations-on-science-not-fiction-says-expert",https://www.facebook.com/HEATSph/photos/a.113716913823960/155639342965050/?type=3,,"SCIENCE SHOULD BE THE BASIS, NOT POLITICAL AGENDA According to Dr. Lorenzo Mata Jr., President of Quit for Good, science should be the basis the regulation of vape and heated tobacco, not political or ideological agenda. Quit for Good an organization that advocates for sustainable alternatives to smoking for people who want to quit, Source: Inquirer.net",,,,,,0.21
VSI - Vapes Watch,,2023463064343140,none,,,2020-03-21 06:50:00 SGT,2010,N/A,2020-10-28 04:29:25 SGT,2020-10-28,04:29:25,Link,4,4,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/2023463064343140/permalink/3834505253238903,"""Ein medizinischer Experte, Dr. Lorenzo Mata Jr. (Präsident von Quit For Good, einer Gruppe, die sich für nachhaltige Möglichkeiten für Raucher einsetzt, mit dem Rauchen aufzuhören), fordert die Food and Drug Administration (FDA) auf, die vorgeschlagenen Vorschriften für vape und erhitzten Tabak auf die Wissenschaft und nicht auf die Fiktion zu stützen, nachdem die Behörde zugegeben hatte, dass sie von ausländischen Anti-Tabak-Organisationen finanziert wurde. Die FDA hatte zuzugeben, dass sie Finanzmittel von der Union and Bloomberg Initiative erhalten haben, die daran arbeiten, die Verwendung von Tabakerzeugnissen zu unterbinden. Die Zulassung löste Aufrufe zu einer umfassenden Untersuchung des Kongresses zu diesem Thema aus. Mata bemerkte dass seine Gruppe an der öffentlichen Konsultation der FDA teilnahm, ""in der Hoffnung auf eine solide und inhaltliche Diskussion über Wissenschaft statt Fiktion"". Aber er sagte: ""Wir wurden zu einer Farce-Konsultation eingeladen, einer bloßen Tick-the-Box-Übung."" ",https://business.inquirer.net/310580/base-vape-heated-tobacco-regulations-on-science-not-fiction-says-expert?fbclid=IwAR06RCKqHkmNWbsMPDqnxjduMdykcJrEBDM32yH-bYrWiDc3KQSX9g3L4mE,,,"Base vape, heated tobacco regulations on science, not fiction, says expert","MANILA, Philippines — A medical expert urged the Food and Drugs Administration to base the proposed vape and heated tobacco regulations on science — not on fiction — in the wake of the",,,,-5.75
HKVSA 香港電子煙店聯盟,hongkongvsa,325692268160687,NONPROFIT ORGANIZATION,HK,"請支持香港電子煙
給煙民多一個選擇",2018-12-20 14:21:02 SGT,554,632,2020-10-30 15:33:10 SGT,2020-10-30,15:33:10,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/325692268160687/posts/738414136888496,,https://business.inquirer.net/310580/base-vape-heated-tobacco-regulations-on-science-not-fiction-says-expert,,,"Base vape, heated tobacco regulations on science, not fiction, says expert","MANILA, Philippines — A medical expert urged the Food and Drugs Administration to base the proposed vape and heated tobacco regulations on science — not on fiction — in the wake of the",,,,-26
kingkongvapejuice,kingkongvapejuice,345972579599882,BRAND,,"🏆MULTI-AWARD WINNING BRAND🏆
Release Your Inner vApe®.
The Ultimate vAping Experience.
United Kingdom 🇬🇧
#KingKongVapeJuice #KKVJ",2020-10-27 02:28:28 SGT,277,317,2020-11-06 16:40:07 SGT,2020-11-06,16:40:07,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/345972579599882/posts/733495250847611,"""The WHO has in fact conceded before the Philippine Congress that e-cigarettes are substantially less harmful than cigarettes. So why regulate them the same as cigarettes?” - Dr. Lorenzo Mata Jr., president of Quit For Good Source https://business.inquirer.net/310580/base-vape-heated-tobacco-regulations-on-science-not-fiction-says-expert #VapeNews",https://www.facebook.com/kingkongvapejuice/photos/a.352451632285310/733495134180956/?type=3,,"BASE VAPE, HEATED TOBACCO REGULATIONS ON SCIENCE, NOT FICTION SAYS EXPERT #VAPENEWS",,,,,,-58
