Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Philippine E-cigarette Industry Association - Public,PECIAI,530282147019072,NONPROFIT ORGANIZATION,PH," PECIA was registered with SEC  on April 29, 2013 with Reg.#CN201308298. E-Cigarette current issues, news, facts & studies in Philippines and Worldwide.",2016-12-13 04:23:43 SGT,17212,17716,2020-11-26 20:27:17 SGT,2020-11-26,20:27:17,Photo,60,28,3,21,1,0,0,7,0,0,,-,0,0,0,N/A,https://www.facebook.com/530282147019072/posts/3521905267856730,"Sabi pa ni Mr. Israel, ang pagtanggap ng FDA ng funding galing sa foreign groups ay isang violation sa Code of Conduct and Ethical Standards for Public Officials and Employees dahil naiimpluwensiyahan nito ang pag-draft ng guidelines para sa pag-regulate ng vape at iba pang HTPs. Full Story: https://www.vapingpost.com/2020/11/19/philippine-harm-reduction-groups-ask-that-fda-reject-foreign-funding/",https://www.facebook.com/PECIAI/photos/a.530775916969695/3521896241190966/?type=3,,"""From the start, the FDA has shown favor to its foreign benefactors to the detriment of Filıpıno consumers and interests."" -Anton Israel, NCUP President PECTA Like us on PECIA | Follow us on @pecia_ph",,,,,,-3.07
The Vapers Ph,thevapersph,685875034894630,COMMUNITY ORGANIZATION,,The Vapers Ph is a community page for the Philippine vaping community. Like and follow us here and on Twitter @thevapersph if you're interested in being a member and being part of the new vaping revolution!,2021-03-15 07:05:30 SGT,N/A,N/A,2020-11-26 21:00:14 SGT,2020-11-26,21:00:14,Link,59,31,0,28,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/685875034894630/posts/1845154568966665,“The World Health Organization has conceded before the Philippine Congress that e-cigarettes are substantially less harmful than cigarettes. So why regulate them the same as cigarettes?”,https://www.vapingpost.com/2020/11/19/philippine-harm-reduction-groups-ask-that-fda-reject-foreign-funding/,,,Philippine Harm Reduction Groups Ask That FDA Reject Foreign Funding,"The Nicotine Consumers Union of the Philippines (NCUP) is amongst the groups urging President Rodrigo Duterte to reverse the foreign funding received by the local Food and Drug Administration (FDA), due to conflict of interest.",,,,3.11
Philippine E-cigarette Industry Association - Public,PECIAI,530282147019072,NONPROFIT ORGANIZATION,PH," PECIA was registered with SEC  on April 29, 2013 with Reg.#CN201308298. E-Cigarette current issues, news, facts & studies in Philippines and Worldwide.",2016-12-13 04:23:43 SGT,17207,17711,2020-11-24 21:45:30 SGT,2020-11-24,21:45:30,Link,28,18,1,1,7,0,0,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/530282147019072/posts/3516718191708771,"“We appeal to President Duterte to rescind the foreign grants received by the Philippine Food and Drug Administration, which cast a dark cloud on the agency’s role as an independent regulator and protector of public health.”",https://www.vapingpost.com/2020/11/19/philippine-harm-reduction-groups-ask-that-fda-reject-foreign-funding/,,,Philippine Harm Reduction Groups Ask That FDA Reject Foreign Funding,"The Nicotine Consumers Union of the Philippines (NCUP) is amongst the groups urging President Rodrigo Duterte to reverse the foreign funding received by the local Food and Drug Administration (FDA), due to conflict of interest.",,,,-4.68
kingkongvapejuice,kingkongvapejuice,345972579599882,BRAND,,"🏆MULTI-AWARD WINNING BRAND🏆
Release Your Inner vApe®.
The Ultimate vAping Experience.
United Kingdom 🇬🇧
#KingKongVapeJuice #KKVJ",2020-10-27 02:28:28 SGT,334,377,2020-12-08 16:23:34 SGT,2020-12-08,16:23:34,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/345972579599882/posts/756119001918569,"Two members of the House of Representatives were recently forced to suspend public consultations on vaping and heated tobacco products, after the FDA, was forced to admit that it received grants from The Union and Bloomberg Initiatives. Source https://www.vapingpost.com/2020/11/19/philippine-harm-reduction-groups-ask-that-fda-reject-foreign-funding/ #VapeNews",https://www.facebook.com/kingkongvapejuice/photos/a.352451632285310/756118915251911/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Flogin%2F%3Fnext%3Dhttps%253A%252F%252Fwww.facebook.com%252Flogin%252F%253Fnext%253Dhttps%25253A%25252F%25252Fwww.facebook.com%25252Flogin%25252F%25253Fnext%25253Dhttps%2525253A%2525252F%2525252Fwww.facebook.com%2525252Flogin%2525252F%2525253Fnext%2525253Dhttps%252525253A%252525252F%252525252Fwww.facebook.com%252525252Flogin%252525252F%252525253Fnext%252525253Dhttps%25252525253A%25252525252F%25252525252Fwww.facebook.com%25252525252Flogin%25252525252F%25252525253Fnext%25252525253Dhttps%2525252525253A%2525252525252F%2525252525252Fwww.facebook.com%2525252525252Flogin%2525252525252F%2525252525253Fnext%2525252525253Dhttps%252525252525253A%252525252525252F%252525252525252Fwww.facebook.com%252525252525252Flogin%252525252525252F%252525252525253Fnext%252525252525253Dhttps%25252525252525253A%25252525252525252F%25252525252525252Fwww.facebook.com%25252525252525252Flogin%25252525252525252F%25252525252525253Fnext%25252525252525253Dhttps%2525252525252525253A%2525252525252525252F%2525252525252525252Fwww.facebook.com%2525252525252525252Fkingkongvapejuice%2525252525252525252Fphotos%2525252525252525252Fa.352451632285310%2525252525252525252F756118915251911%2525252525252525252F%2525252525252525253Ftype%2525252525252525253D3,PHILIPPINE EE HARM REDUCTION GROUPS ASK THAT FDA REJECT FOREIGN FUNDING #VAPENEWS,,,,,,-86
