Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
VSI - Vapes Watch,,2023463064343140,none,,,2020-03-21 06:50:00 SGT,2013,N/A,2021-01-21 23:18:52 SGT,2021-01-21,23:18:52,Link,5,4,0,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/2023463064343140/permalink/4077446708944755,"**Philippinen: **Laut Experten hat die **Bloomberg-Spende** an die philippinische FDA möglicherweise gegen US-Gesetze verstoßen Internationale Experten für öffentliche Gesundheitspolitik forderten eine eingehendere Untersuchung des Eingangs von Geldern bei der philippinischen Lebensmittel- und Arzneimittelbehörde von der Anti-Tabak-Bloomberg-Stiftung, um festzustellen, **ob sie sowohl gegen philippinische als auch gegen US-amerikanische Gesetze verstößt.** Dr. Joel Nitzkin, ein in der öffentlichen Verwaltung ausgebildeter US-amerikanischer Arzt, verwies auf die Notwendigkeit, die Einreichung eines Beschlusses von zwei philippinischen Kongressabgeordneten im vergangenen Monat zu beleuchten, in dem eine Kongressuntersuchung zur Akzeptanz ausländischer Mittel durch die philippinische FDA von Bloomberg gefordert wurde in möglichem Verstoß gegen die Verfassung von 1987 und mehrere Gesetze. Prof. David John Nutt vom Imperial College of London, Vorsitzender der Drug Science, sagte, es wäre interessant, den Fall der FDA auf den Philippinen zu überprüfen, um festzustellen, ob er gegen US-Wohltätigkeitsvorschriften verstößt, insbesondere wenn er sich illegal in die Regierungsführung eines anderen Staates einmischt. „Wir müssen wissen, wie viel Geld gespendet wurde, sowohl in Dollar als auch als Prozentsatz des FDA-Budgets. Darüber hinaus müssen wir sowohl von den Spendern als auch von den Empfängern den beabsichtigten Zweck dieser Spende artikulieren. Wenn dies so illegal ist, wie es scheint, wäre der nächste Schritt, dies vor den philippinischen Gerichten und möglicherweise vor amerikanischen Gerichten anzufechten “, sagte Nitzkin. Die Forderung nach einer Untersuchung ergab sich aus der angeblichen Zulassung von FDA-Beamten während einer öffentlichen Anhörung am 28. Oktober 2020, zur Ausarbeitung der allgemeinen Richtlinien zur Regulierung elektronischer Nikotinabgabesysteme (E-Zigaretten) und erhitzter Tabakerzeugnisse Sie erhielten Finanzmittel von der Union und der Bloomberg-Initiative, bei denen es sich um internationale private Gruppen handelt, die sich gegen alle Formen von Tabakerzeugnissen einsetzen, einschließlich E-Zigaretten und HTPs. Der gesundheitspolitische Berater Scott Ballin, der zuvor an der US-amerikanischen FDA-Regulierung von Tabak gearbeitet hatte, bezeichnete das Problem als „beunruhigend“, da es den direkten Beitrag von Finanzmitteln oder Geldern an eine Regulierungsbehörde beinhaltet. ***„Dies ist offensichtlich ein echtes Problem. Das übergeordnete Thema ist in der Tat die Transparenz und die Anforderungen, die eine Regulierungsbehörde an die Richtlinien stellt, um sicherzustellen, dass politikbezogene Entscheidungen auf der Grundlage fundierter wissenschaftlicher Erkenntnisse und als Teil eines transparenten Regulierungsprozesses getroffen werden. Wenn die (Tabak-) Industrie dies getan hätte, hätte es bekanntlich Empörung von Einrichtungen des öffentlichen Gesundheitswesens gegeben “, sagte Ballin.*** https://www.manilastandard.net/business/economy-trade/344914/bloomberg-donation-to-philippines-fda-may-have-violated-us-laws-say-experts.html?fbclid=IwAR2NwVynLk0i5gKK1FwP_Ik3hWnJnhSUeHCZScC7NIpmbOXzDQsY4dFM0fA",https://www.manilastandard.net/business/economy-trade/344914/bloomberg-donation-to-philippines-fda-may-have-violated-us-laws-say-experts.html,,,"Bloomberg donation to Philippines FDA may have violated US laws, say experts",International public health policy experts called for a deeper investigation on the receipt of funds by the Philippines Food and Drug Administration from the anti-tobacco Bloomberg foundation to determine whether it violated both Philippine and United States laws.,,,,-4.8
ecigcharleston.com,ecigcharleston,182694035087555,E-CIGARETTE STORE,US,"Ecigcharleston.com Charleston, Sc Premier Electronic Cigarette Store",2016-12-13 03:47:11 SGT,2499,2498,2021-01-21 01:56:58 SGT,2021-01-21,01:56:58,Link,2,1,0,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/182694035087555/posts/3989448264412094,https://www.manilastandard.net/business/economy-trade/344914/bloomberg-donation-to-philippines-fda-may-have-violated-us-laws-say-experts.html?fbclid=IwAR1sYOx8zjc3QUx1LRTInkS7hxbPhlaJSgN6Q8Ao5xvjOErpdjVPI7VSIUg,https://www.manilastandard.net/business/economy-trade/344914/bloomberg-donation-to-philippines-fda-may-have-violated-us-laws-say-experts.html,,,"Bloomberg donation to Philippines FDA may have violated US laws, say experts",International public health policy experts called for a deeper investigation on the receipt of funds by the Philippines Food and Drug Administration from the anti-tobacco Bloomberg foundation to determine whether it violated both Philippine and United States laws.,,,,-0.78
台灣菸草減害協會 TTHRA,TTHRA,1241337182682391,NON-GOVERNMENTAL ORGANIZATION (NGO),TW,台灣菸草減害協會是以非以營利為目的之民間團體，以搭建民間與政府溝通橋梁、推廣菸草減害觀念、督促政府建立菸草減害產品相關法律，促進台灣成為無煙國家為宗旨。（籌備中）,2020-03-17 15:32:09 SGT,900,968,2021-01-21 10:20:59 SGT,2021-01-21,10:20:59,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/1241337182682391/posts/1907393932743376,"""International public health policy experts called for a deeper investigation on the receipt of funds by the Philippines Food and Drug Administration from the anti-tobacco Bloomberg foundation to determine whether it violated both Philippine and United States laws."" https://www.manilastandard.net/business/economy-trade/344914/bloomberg-donation-to-philippines-fda-may-have-violated-us-laws-say-experts.html",https://www.manilastandard.net/business/economy-trade/344914/bloomberg-donation-to-philippines-fda-may-have-violated-us-laws-say-experts.html,,,"Bloomberg donation to Philippines FDA may have violated US laws, say experts",International public health policy experts called for a deeper investigation on the receipt of funds by the Philippines Food and Drug Administration from the anti-tobacco Bloomberg foundation to determine whether it violated both Philippine and United States laws.,,,,-28
無煙台灣基金會Foundation for a Smoke-Free Taiwan,SmokeFreeTaiwan,112969520192563,NON-GOVERNMENTAL ORGANIZATION (NGO),TW,達成無煙台灣，改善全民健康。,2020-03-27 11:12:29 SGT,158,184,2021-01-21 10:21:18 SGT,2021-01-21,10:21:18,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/112969520192563/posts/263687015120812,"""International public health policy experts called for a deeper investigation on the receipt of funds by the Philippines Food and Drug Administration from the anti-tobacco Bloomberg foundation to determine whether it violated both Philippine and United States laws."" https://www.manilastandard.net/business/economy-trade/344914/bloomberg-donation-to-philippines-fda-may-have-violated-us-laws-say-experts.html",https://www.manilastandard.net/business/economy-trade/344914/bloomberg-donation-to-philippines-fda-may-have-violated-us-laws-say-experts.html,,,"Bloomberg donation to Philippines FDA may have violated US laws, say experts",International public health policy experts called for a deeper investigation on the receipt of funds by the Philippines Food and Drug Administration from the anti-tobacco Bloomberg foundation to determine whether it violated both Philippine and United States laws.,,,,-16
Nicotine Science and Policy,nicotinepolicy,240673896110762,WEBSITE,PL,"Nicotine Science and Policy is a new website devoted to news, research, comment and policy analysis on nicotine containing products, in particular nicotine",2016-12-13 03:51:47 SGT,590,590,2021-01-21 20:18:47 SGT,2021-01-21,20:18:47,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/240673896110762/posts/1814814348696701,"Manila Standard | Bloomberg donation to Philippines FDA may have violated US laws, say experts",https://www.manilastandard.net/business/economy-trade/344914/bloomberg-donation-to-philippines-fda-may-have-violated-us-laws-say-experts.html,,,"Bloomberg donation to Philippines FDA may have violated US laws, say experts",,,,,-22
