Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
The Vapers Ph,thevapersph,685875034894630,COMMUNITY ORGANIZATION,,The Vapers Ph is a community page for the Philippine vaping community. Like and follow us here and on Twitter @thevapersph if you're interested in being a member and being part of the new vaping revolution!,2021-03-15 07:05:30 SGT,N/A,N/A,2020-10-22 22:26:29 SGT,2020-10-22,22:26:29,Link,59,32,0,27,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/685875034894630/posts/1811928505622605,"“Clarisse Virgino, the Philippine representative of the Coalition of Asia Pacific Tobacco Harm Reduction Advocates, said the group was shocked by the admission of the agency that it received money from the Union and Bloomberg Initiative, which is pushing for a prohibition of all forms of tobacco products, including alternatives on cigarettes such as e-cigarettes and HTPs.”",https://www.manilatimes.net/2020/10/21/news/top-stories/group-set-to-file-complaint-vs-fda/783351/,,,Group set to file complaint vs FDA – The Manila Times,"A consumer group threatened to file a complaint against the Food and Drug Administration (FDA) for accepting grants from “foreign interest groups,” which they claimed ignored the viewpoints of stakeholders who would be affected in the agency’s crafting of the guidelines on rules and regulation...",,,,3.11
Kai Defiant Vaping,KaiDefiantVaping,106750394391307,VIDEO CREATOR,,"If you want a Page that helps you learn more about vaping with no lies and no bullsh*t, you've come to the right Page.

We got live commentaries, product review and more in this Page.

If you happen to drop by, like and follow my Page.",2020-12-12 22:15:50 SGT,N/A,N/A,2020-10-21 14:04:55 SGT,2020-10-21,14:04:55,Link,21,10,0,7,4,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/106750394391307/posts/205328407866838,Advocates are in motion. Let us not put their efforts to waste! #advocacy #PECIA #VaperAko #KaiDefiantVaping,https://www.manilatimes.net/2020/10/21/news/top-stories/group-set-to-file-complaint-vs-fda/783351/,,,Group set to file complaint vs FDA – The Manila Times,"A consumer group threatened to file a complaint against the Food and Drug Administration (FDA) for accepting grants from “foreign interest groups,” which they claimed ignored the viewpoints of stakeholders who would be affected in the agency’s crafting of the guidelines on rules and regulation...",,,,1.11
Vaper Ako,,494778961302138,none,,,2020-03-12 14:54:50 SGT,8591,N/A,2020-10-22 21:13:08 SGT,2020-10-22,21:13:08,Link,3,0,0,1,0,0,0,2,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/494778961302138/permalink/790681965045168,"“We are saddened to hear that the proposed FDA guidelines on the regulation of vapor products was based on the recommendations of only the public health NGOs, we (vapers and industry) are the ones most affected with these guidelines and should be heard and considered also,” Joey Dulay, president of the Philippine E-Cigarette Industry Association, said during the last FDA public hearing. Mga brothers — nakakalungkot na mas napapakinggan ang anti-vaping medical NGO groups kaysa sa vapers na maaapektuhan ng guidelines #VaperAko",https://www.manilatimes.net/2020/10/21/news/top-stories/group-set-to-file-complaint-vs-fda/783351/,,,Group set to file complaint vs FDA – The Manila Times,"A consumer group threatened to file a complaint against the Food and Drug Administration (FDA) for accepting grants from “foreign interest groups,” which they claimed ignored the viewpoints of stakeholders who would be affected in the agency’s crafting of the guidelines on rules and regulation...",,,,-28
The Manila Times,themanilatimesonline,111026632011,MEDIA/NEWS COMPANY,PH,"As one of the longest-running English broadsheets in the country, the company also has a strong digital media presence with a growing online and social media reach.",2015-05-06 04:08:33 SGT,444470,458299,2020-10-21 10:06:38 SGT,2020-10-21,10:06:38,Link,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/111026632011/posts/10158273575117012,"A consumer group threatened to file a complaint against the Food and Drug Administration (FDA) for accepting grants from “foreign interest groups,” which they claimed ignored the viewpoints of stakeholders who would be affected in the agency’s crafting of the guidelines on rules and regulations of electronic cigarettes and heated tobacco products (HTPs)",https://bit.ly/2TawHg3,https://www.manilatimes.net/2020/10/21/news/top-stories/group-set-to-file-complaint-vs-fda/783351/?utm_medium=Social&utm_source=Facebook#Echobox=1603245269,,Group set to file complaint vs FDA – The Manila Times,"A consumer group threatened to file a complaint against the Food and Drug Administration (FDA) for accepting grants from “foreign interest groups,” which they claimed ...",,,,-112
