Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
มูลนิธิรณรงค์ เพื่อการไม่สูบบุหรี่ ASH THAILAND,ashthailand,210762632313786,NON-GOVERNMENTAL ORGANIZATION (NGO),TH,"มูลนิธิรณรงค์เพื่อการไม่สูบบุหรี่
www.ashthailand.or.th
www.smokefreezone.or.th
",2020-12-16 02:06:00 SGT,93431,95948,2021-02-17 14:37:40 SGT,2021-02-17,14:37:40,Link,14,9,2,3,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/210762632313786/posts/3851800011543345,ถ้าบุหรี่ไฟฟ้าช่วยเลิกบุหรี่มวนได้จริง คิดหรือว่าบริษัทบุหรี่จะทำบุหรี่ไฟฟ้ามาขาย เพื่อลดกำไรจากบุหรี่ธรรมดาของตัวเอง ดร.พญ.เริงฤดี ปธานวนิช ภาควิชาเวชศาสตร์ชุมชน คณะแพทยศาสตร์โรงพยาบาลรามาธิบดี 17 กุมภาพันธ์ 2564 เมื่อเร็ว ๆ นี้มีบทความที่เผยแพร่โดย Foundation for a Smoke-Free World หรือมูลนิธิเพื่อโลกปลอดควันบุหรี่ วิจารณ์นโยบายควบคุมยาสูบของประเทศไทย การที่รัฐบาลไทยเป็นเจ้าของกิจการโรงงานยาสูบ เป็นการขัดแย้งต่อมาตรา 5.3 ของอนุสัญญาควบคุมยาสูบ องค์การอนามัยโลก ที่ระบุว่ารัฐไม่ควรลงทุนในกิจการยาสูบ อีกเรื่องหนึ่งคือวิจารณ์ว่ารัฐบาลไทย “สอบตก” ในเรื่องการรักษาให้เลิกสูบบุหรี่ และเสนอว่า ผู้เกี่ยวข้อง ควรจะพิจารณาอย่างจริงจังในการสนับสนุนการเลิกสูบบุหรี่ โดยใช้ผลิตภัณฑ์นิโคตินชนิดใหม่ ๆ ที่ปลอดภัยกว่าในการช่วยให้เลิกสูบบุหรี่ มูลนิธิเพื่อโลกปลอดควันบุหรี่ ตั้งขึ้นโดยบริษัทบุหรี่ฟิลลิป มอร์ริสอินเตอร์เนชั่นแนลเมื่อปี 2017 และมูลนิธินี้ จะได้รับเงินสนับสนุนปีละ 80 ล้านเหรียญติดต่อกันเป็นเวลา 12 ปี เพื่อส่งเสริมให้มีการใช้ผลิตภัณฑ์นิโคตินใหม่ ๆ ที่ไม่เผาไหม้ ที่อ้างว่าปลอดภัยกว่าบุหรี่ธรรมดา ซึ่งบริษัทฟิลลิป มอร์ริสเป็นเจ้าของผลิตภัณฑ์ใหม่ ๆ นี้หลายตัวด้วย ขณะนี้มูลนิธิเพื่อโลกปลอดควันบุหรี่ กำลังวิ่งเต้นนักการเมือง เพื่อไม่ให้รัฐบาลประเทศต่าง ๆ ออกกฎหมายห้ามบุหรี่ไฟฟ้า รวมทั้งมุ่งโจมตีองค์กรและฝ่ายที่รณรงค์ให้ห้ามบุหรี่ไฟฟ้า เมื่อเดือนธันวาคม 2020 มี สส.ฟิลิปปินส์ 2 คน (Deogracias Savellano และ Estrella Suansing) ได้ยื่นญัตติต่อสภาผู้แทนราษฎรฟิลิปปินส์ ขอให้ตรวจสอบองค์การอาหารและยา (FDA) ฟิลิปปินส์ ว่ารับเงินจากองค์กรต่างชาติ (Bloomberg Philanthropies และ the Union) ซึ่งสนับสนุนให้ห้ามบุหรี่ไฟฟ้า ด้วยข้อกล่าวหาว่า FDA ยอมให้องค์กรเหล่านี้แทรกแซงนโยบายควบคุมบุหรี่ไฟฟ้า ซึ่งขัดต่อการบริหารกิจการที่ดีของรัฐ และขอให้คืนเงินที่องค์กรเหล่านี้สนับสนุน ในประเทศไทยก็มี สส.เสนอให้สภาผู้แทนราษฎร ตั้งกรรมาธิการเพื่อพิจารณาทบทวนนโยบายควบคุมบุหรี่ไฟฟ้าของรัฐบาลไทย (truncated),https://maharlika.tv/2020/12/07/house-resolution-urges-fda-to-return-money-from-bloomberg/,,,House resolution urges FDA to return money from Bloomberg | Maharlika TV,Deputy Speaker Deogracias Victor Savellano MANILA — A resolution filed by ranking members of the House of Representatives urges the Food and Drug Administration (FDA),,,,-1.93
Vaper Ako,,494778961302138,none,,,2020-03-12 14:54:50 SGT,8566,N/A,2020-12-10 23:15:19 SGT,2020-12-10,23:15:19,Link,4,2,0,1,1,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/494778961302138/permalink/826964264750271,"""A resolution filed by ranking members of the House of Representatives urges the FDA and other regulatory agencies to stop accepting money and return all the funds they received from foreign private groups such as The Union and Bloomberg Initiative in exchange of predefined policies, which ignore the rights and welfare of consumers."" Oras na para pakinggan tayong mga consumers! #VaperAko",https://maharlika.tv/2020/12/07/house-resolution-urges-fda-to-return-money-from-bloomberg/,,,House resolution urges FDA to return money from Bloomberg,Deputy Speaker Deogracias Victor Savellano MANILA — A resolution filed by ranking members of the House of Representatives urges the Food and Drug Administration (FDA) and other regulatory age…,,,,-21
VAPER AKO PH,akovaper,104168634335363,COMMUNITY ORGANIZATION,,Community Organization,2021-03-15 07:09:17 SGT,N/A,N/A,2020-12-10 23:17:45 SGT,2020-12-10,23:17:45,Link,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/104168634335363/posts/406107777474779,"""A resolution filed by ranking members of the House of Representatives urges the FDA and other regulatory agencies to stop accepting money and return all the funds they received from foreign private groups such as The Union and Bloomberg Initiative in exchange of predefined policies, which ignore the rights and welfare of consumers."" Oras na para pakinggan tayong mga consumers! #VaperAko",https://maharlika.tv/2020/12/07/house-resolution-urges-fda-to-return-money-from-bloomberg/,,,House resolution urges FDA to return money from Bloomberg,Deputy Speaker Deogracias Victor Savellano MANILA — A resolution filed by ranking members of the House of Representatives urges the Food and Drug Administration (FDA) and other regulatory age…,,,,-0.67
