Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
kingkongvapejuice,kingkongvapejuice,345972579599882,BRAND,,"🏆MULTI-AWARD WINNING BRAND🏆
Release Your Inner vApe®.
The Ultimate vAping Experience.
United Kingdom 🇬🇧
#KingKongVapeJuice #KKVJ",2020-10-27 02:28:28 SGT,336,378,2020-12-03 16:40:47 SGT,2020-12-03,16:40:47,Photo,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/345972579599882/posts/752867888910347,Reports that the Food and Drug Administration accepted grants from foreign anti-tobacco groups have alarmed the International Network of Nicotine Consumer Organisations. Source https://business.inquirer.net/312340/groups-alarmed-that-fda-accepted-grants-from-foreign-anti-tobacco-advocates #VapeNews,https://www.facebook.com/kingkongvapejuice/photos/a.352451632285310/752867805577022/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Flogin%2F%3Fnext%3Dhttps%253A%252F%252Fwww.facebook.com%252Flogin%252F%253Fnext%253Dhttps%25253A%25252F%25252Fwww.facebook.com%25252Flogin%25252F%25253Fnext%25253Dhttps%2525253A%2525252F%2525252Fwww.facebook.com%2525252Flogin%2525252F%2525253Fnext%2525253Dhttps%252525253A%252525252F%252525252Fwww.facebook.com%252525252Flogin%252525252F%252525253Fnext%252525253Dhttps%25252525253A%25252525252F%25252525252Fwww.facebook.com%25252525252Flogin%25252525252F%25252525253Fnext%25252525253Dhttps%2525252525253A%2525252525252F%2525252525252Fwww.facebook.com%2525252525252Flogin%2525252525252F%2525252525253Fnext%2525252525253Dhttps%252525252525253A%252525252525252F%252525252525252Fwww.facebook.com%252525252525252Flogin%252525252525252F%252525252525253Fnext%252525252525253Dhttps%25252525252525253A%25252525252525252F%25252525252525252Fwww.facebook.com%25252525252525252Flogin%25252525252525252F%25252525252525253Fnext%25252525252525253Dhttps%2525252525252525253A%2525252525252525252F%2525252525252525252Fwww.facebook.com%2525252525252525252Fkingkongvapejuice%2525252525252525252Fphotos%2525252525252525252Fa.352451632285310%2525252525252525252F752867805577022%2525252525252525252F%2525252525252525253Ftype%2525252525252525253D3,PHILIPPINES: PHILIPE FDA ACCEPTED GRANTS FROM FOREIGN ANTI-TOBACCO ADVOCATES #VAPENEWS,,,,,,-22
Zyite.com,Zyite,394740097296911,ELECTRONICS,,Zyite.com is a global retailer,2019-02-08 07:26:45 SGT,550,561,2020-11-23 01:03:09 SGT,2020-11-23,01:03:09,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/394740097296911/posts/3127875750649985,,http://dlvr.it/RmCJST,https://business.inquirer.net/312340/groups-alarmed-that-fda-accepted-grants-from-foreign-anti-tobacco-advocates?utm_source=dlvr.it&utm_medium=facebook,,Groups alarmed that FDA accepted grants from foreign anti-tobacco advocates,"MANILA, Philippines — Reports that the F00d and Drug Administration (FDA) accepted grants from foreign anti-tobacco groups have alarmed the International Network of Nicotine Consumer",,,,-8
