Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Vaper Ako,,494778961302138,none,,,2020-03-12 14:54:50 SGT,8555,N/A,2021-01-23 21:26:36 SGT,2021-01-23,21:26:36,Link,5,3,0,2,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/494778961302138/permalink/852711892175508,"""The call (for an investigation) came following allegations that the FDA and other agencies received private funding “in exchange for the issuance of specific and predefined policies against a legitimate industry under Philippine laws and in complete disregard of the rights and welfare of consumers.” Nagsalita na ang mga public health experts mga ka-hipak! Tara, suportahan natin sila by liking and sharing this article #VaperAko",https://www.manilatimes.net/2021/01/21/news/top-stories/health-experts-want-deeper-probe-of-fda-donations/830098/,,,Health experts want deeper probe of FDA donations – The Manila Times,A group of public health experts have asked authorities to conduct deeper investigation of the alleged donation by Bloomberg Philanthropies to the Philippine Food and Drug Administration (FDA) to see if it has violated any law in the Philippines and the United States. The call came following allegat...,,,,-16.8
VAPER AKO PH,akovaper,104168634335363,COMMUNITY ORGANIZATION,,Community Organization,2021-03-15 07:09:17 SGT,N/A,N/A,2021-01-23 21:20:02 SGT,2021-01-23,21:20:02,Link,2,2,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/104168634335363/posts/436414214444135,"""The call (for an investigation) came following allegations that the FDA and other agencies received private funding “in exchange for the issuance of specific and predefined policies against a legitimate industry under Philippine laws and in complete disregard of the rights and welfare of consumers.” Nagsalita na ang mga public health experts mga ka-hipak! Tara, suportahan natin sila by liking and sharing this article #VaperAko",https://www.manilatimes.net/2021/01/21/news/top-stories/health-experts-want-deeper-probe-of-fda-donations/830098/,,,Health experts want deeper probe of FDA donations – The Manila Times,A group of public health experts have asked authorities to conduct deeper investigation of the alleged donation by Bloomberg Philanthropies to the Philippine Food and Drug Administration (FDA) to see if it has violated any law in the Philippines and the United States. The call came following allegat...,,,,-0.33
