Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
VSI - Vapes Watch,,2023463064343140,none,,,2020-03-21 06:50:00 SGT,2070,N/A,2021-03-18 01:59:24 SGT,2021-03-18,01:59:24,Link,15,4,3,1,0,0,1,0,6,0,,-,0,0,0,N/A,https://www.facebook.com/groups/2023463064343140/permalink/4234400376582720,"**Philippinen:** Die FDA gibt zu, über 150.000 US-Dollar von einer Anti-Tabak-NGO erhalten zu haben, um Vapes zu regulieren **Hochrangige Beamte der Food and Drug Administration, die für die Ausarbeitung der Vorschriften für E-Zigaretten und erhitzte Tabakerzeugnisse zuständig ist, bestätigten in einer Kongressuntersuchung am Dienstag, dass sie Geld von einer von Bloomberg Philanthropies finanzierten ausländischen Anti-Tabak-Organisation angefordert und erhalten haben , die Wohltätigkeitsorganisation des amerikanischen Milliardärs Michael Bloomberg.** Der Generaldirektor der FDA, Rolando Enrique Domingo, teilte dem House Committee on Good Government und Public Accountability unter dem Vorsitz von Rep. Michael Edgar Aglipay mit, dass die Regulierungsbehörde von der Internationalen Union gegen Tuberkulose und Lungenerkrankungen (The Union) einen Zuschuss von 150.430 USD beantragt und erhalten habe 2016 hauptsächlich, um „Job Order“ -Mitarbeiter einzustellen, die die Richtlinien zur Tabakkontrolle der Agentur entwerfen würden. Die Union verwaltet das Bloomberg-Programm zur Reduzierung der Zuschüsse für den Tabakkonsum, eine Kampagne, die sich der Politik zur Bekämpfung von Tabak und Dämpfen widmet. „Wir haben mit der Weltgesundheitsorganisation, der Asiatischen Entwicklungsbank und Nichtregierungsorganisationen wie der Internationalen Union gegen Tuberkulose und Lungenerkrankungen (The Union) zusammengearbeitet. Die Union ist Teil des Zuschussprogramms der Bloomberg-Initiative “, sagte Domingo während der Anhörung, die einberufen wurde, um die vom stellvertretenden Sprecher Deogracias Savellano und Nueva Ecija Rep. Estrellita Suansing eingereichte Resolution 1396 des Hauses zu erörtern, um den Erhalt privater Mittel zu beleuchten von der FDA und anderen Regierungsbehörden und Institutionen. Die FDA gab bekannt, dass die Union im Februar 2017 einen Zuschuss für das Projekt mit dem Titel „Stärkung der Regulierungssysteme für die Tabakkontrolle unter der Food and Drug Administration“ gewährt hat. (...) https://manilastandard.net/business/biz-plus/349714/fda-admits-getting-over-150-000-from-anti-tobacco-ngo-to-regulate-vapes.html?fbclid=IwAR1aRI1NZnTEpsZWc6VB-na86VRiE2fVgweDEQqyOX9Pu-T_5Jep17CxoMY",https://manilastandard.net/business/biz-plus/349714/fda-admits-getting-over-150-000-from-anti-tobacco-ngo-to-regulate-vapes.html,,,"FDA admits getting over $150,000 from anti-tobacco NGO to regulate vapes","Top officials of the Food and Drug Administration, which is in charge of drafting the regulations on e-cigarettes and heated tobacco products, confirmed in a congressional investigation on Tuesday that they solicited and received money from a foreign anti-tobacco organization funded by Bloomberg Phi...",,,,-1.27
Vaping saved my life.,savapertestimonials,121673125114835,COMMUNITY,,"This is a community project, record a small video or write your story on how vaping has helped you quit smoking and how you feel now.",2020-12-12 16:40:05 SGT,3915,4245,2021-03-18 02:17:45 SGT,2021-03-18,02:17:45,Link,11,4,0,5,0,0,0,0,2,0,,-,0,0,0,N/A,https://www.facebook.com/121673125114835/posts/818044308811043,"I wonder if Bloomberg Philanthropy and The Union have captured other Government Health agencies around the world, in order to widen their ideological commonwealth?",https://manilastandard.net/business/biz-plus/349714/fda-admits-getting-over-150-000-from-anti-tobacco-ngo-to-regulate-vapes.html,,,"FDA admits getting over $150,000 from anti-tobacco NGO to regulate vapes","Top officials of the Food and Drug Administration, which is in charge of drafting the regulations on e-cigarettes and heated tobacco products, confirmed in a congressional investigation on Tuesday that they solicited and received money from a foreign anti-tobacco organization funded by Bloomberg Phi...",,,,-2.18
The Vapers Ph,thevapersph,685875034894630,COMMUNITY ORGANIZATION,,The Vapers Ph is a community page for the Philippine vaping community. Like and follow us here and on Twitter @thevapersph if you're interested in being a member and being part of the new vaping revolution!,2021-03-15 07:05:30 SGT,14008,14193,2021-04-07 17:00:06 SGT,2021-04-07,17:00:06,Photo,1,0,0,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/685875034894630/posts/1946836672131787,"According to FDA Director General Rolando Enrique Domingo, “the FDA was “judicious, fair, and objective” when its team was drafting the regulations for vapes and HTPs and that agency officials were listening to all stakeholders, including, the tobacco industry, which they are regulating.” What do you think, Vapers? 📰: manilastandard.net (https://manilastandard.net/business/biz-plus/349714/fda-admits-getting-over-150-000-from-anti-tobacco-ngo-to-regulate-vapes.html) 📸: Rep. Estrellita Suansing's FB page (https://www.facebook.com/RepGingSuansing)",https://www.facebook.com/thevapersph/photos/a.686298304852303/1946830298799091/?type=3,,""" THIS IS WHAT IS HAPPENING NOW YOU (FDA) WERE FUNDED BY BLOOMBERG AND THE UNION AND THE STAND OF THE UNION IS AGAINST TOBACCO Estrellita Suansing Nueva Ecija Representative THE APERS",,,,,,-0.86
